*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Solar Charge Board production1
*Date=19:02:55
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
424;;;13.6144;-46.5404;0;Bottom;Copper Fill198
425;;;75.565;-97.7976;0;Bottom;Copper Fill45
426;;;88.6247;-57.1458;0;Bottom;Via37
427;;;61.2394;-81.6686;0;Bottom;Copper Fill73
428;;;3.84528;-22.5351;0;Bottom;TXT4
429;;5050;63.5248;-73.1957;0;Top;RGB13
430;;;74.1934;-80.6018;0;Bottom;Copper Fill75
431;;;64.8749;-102.896;0;Bottom;Via50
432;;5050;74.5248;-65.1957;0;Top;RGB19
433;;5050;46.5249;-100.946;0;Top;RGB49
434;;;52.5272;-59.7484;0;Bottom;Copper Fill147
435;;5050;63.5248;-57.1957;0;Top;RGB23
436;;;83.3374;-57.4116;0;Bottom;Copper Fill161
437;;;65.8622;-58.2244;0;Bottom;Copper Fill155
438;;;48.2854;-62.3646;0;Bottom;Copper Fill139
439;;;74.9046;-56.3448;0;Bottom;Copper Fill156
440;;;63.5254;-62.8218;0;Bottom;Copper Fill137
441;100 nF;1206 [SMD, multilayer];57.3747;-65.1958;-90;Top;C17
442;;;53.8749;-102.896;0;Bottom;Via49
443;;;35.5346;-98.3056;0;Bottom;Copper Fill33
444;;;99.1248;-4.89579;0;Bottom;Hole2
445;;;63.5254;-46.5658;0;Bottom;Copper Fill202
446;;;71.4756;-64.0664;0;Bottom;Copper Fill132
447;;;43.8404;-66.2;0;Bottom;Copper Fill122
448;;5050;63.7748;-89.4457;0;Top;RGB03
449;100 nF;1206 [SMD, multilayer];79.6249;-89.4458;-90;Top;C4
450;;;65.8368;-66.2;0;Bottom;Copper Fill123
451;;;5.62487;-111.396;0;Bottom;Hole4
452;100 nF;1206 [SMD, multilayer];68.6247;-89.4458;-90;Top;C3
453;;;43.9166;-82.456;0;Bottom;Copper Fill70
454;;5050;85.2749;-89.4457;0;Top;RGB05
455;;;20.193;-44.3814;0;Bottom;Copper Fill10
456;100 nF;1206 [SMD, multilayer];46.6248;-89.4458;-90;Top;C1
457;;;89.9668;-44.9402;0;Bottom;Copper Fill208
458;;;63.5254;-67.6224;0;Bottom;Copper Fill119
459;;;81.8748;-50.8955;0;Bottom;Via35
460;;;70.1548;-46.1086;0;Bottom;Copper Fill206
461;;;60.5028;-56.0654;0;Bottom;Copper Fill165
462;;5050;13.525;-100.946;0;Top;RGB46
463;;;20.2184;-78.646;0;Bottom;Copper Fill2
464;;5050;21.5248;-89.2458;0;Top;RGB56
465;;;22.9362;-86.9264;0;Bottom;Copper Fill1
466;;;71.501;-56.0654;0;Bottom;Copper Fill166
467;;;74.2188;-64.3712;0;Bottom;Copper Fill127
468;;;20.5486;-97.8484;0;Bottom;Copper Fill40
469;;;32.7914;-57.4878;0;Bottom;Copper Fill151
470;;;21.3748;-62.6458;0;Bottom;Via73
471;100 nF;1206 [SMD, multilayer];79.3749;-32.9458;-90;Top;C39
472;100 nF;1206 [SMD, multilayer];79.3749;-40.9457;-90;Top;C34
473;;;42.545;-97.8484;0;Bottom;Copper Fill42
474;100 nF;1206 [SMD, multilayer];57.3748;-57.1958;-90;Top;C22
475;100 nF;1206 [SMD, multilayer];57.3747;-48.9456;-90;Top;C27
476;100 nF;1206 [SMD, multilayer];57.3749;-40.9457;-90;Top;C32
477;;;20.8749;-102.896;0;Bottom;Via46
478;;5050;85.5247;-48.9456;0;Top;RGB30
479;;;42.8748;-102.896;0;Bottom;Via48
480;;;85.5218;-46.5404;0;Bottom;Copper Fill203
481;;;86.5632;-97.696;0;Bottom;Copper Fill46
482;100 nF;1206 [SMD, multilayer];57.3748;-73.1958;-90;Top;C12
483;;;65.405;-99.8296;0;Bottom;Copper Fill29
484;;5050;63.5248;-32.9456;0;Top;RGB38
485;;;10.4902;-59.2912;0;Bottom;Copper Fill152
486;;;48.8748;-83.3958;0;Bottom;Via6
487;20mA;0805 [SMD];13.8748;-25.3709;-90;Bottom;LED1
488;;;88.6247;-81.3958;0;Bottom;Via10
489;;;70.8746;-83.3958;0;Bottom;Via8
490;;;50.2666;-65.311;0;Bottom;Copper Fill124
491;;;79.5274;-98.2548;0;Bottom;Copper Fill37
492;;;81.8748;-83.3958;0;Bottom;Via9
493;100 nF;1206 [SMD, multilayer];18.375;-100.946;-90;Top;C46
494;100 nF;1206 [SMD, multilayer];62.3749;-100.946;-90;Top;C50
495;;;61.3664;-65.2856;0;Bottom;Copper Fill125
496;;5050;21.5248;-79.2458;0;Top;RGB54
497;;5050;11.2392;-79.1625;0;Top;RGB55
498;100 nF;1206 [SMD, multilayer];84.375;-100.846;-90;Top;C52
