*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Solar Charge Board production1
*Date=19:02:55
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;22.987;-73.0072;0;Bottom;Copper Fill4
103;100 nF;1206 [SMD, multilayer];25.8748;-80.3458;90;Bottom;C54
104;100 nF;1206 [SMD, multilayer];16.0891;-80.2625;90;Bottom;C55
105;;;12.5984;-75.6742;0;Bottom;Copper Fill5
106;100 nF;1206 [SMD, multilayer];25.8748;-90.4458;90;Bottom;C56
107;;;48.8748;-23.3958;0;Bottom;Via41
108;;;13.6144;-44.0004;0;Bottom;Copper Fill209
109;;;65.8368;-74.2264;0;Bottom;Copper Fill97
110;;;83.3374;-49.2836;0;Bottom;Copper Fill189
111;;;74.8792;-72.3214;0;Bottom;Copper Fill98
112;;;88.6247;-21.3959;0;Bottom;Via45
113;;;54.864;-22.4612;0;Bottom;Copper Fill273
114;;5050;63.5248;-41.1958;0;Top;RGB33
115;;;90.7542;-73.185;0;Bottom;Copper Fill103
116;100 nF;1206 [SMD, multilayer];68.3747;-48.9456;-90;Top;C28
117;;;48.5394;-70.2386;0;Bottom;Copper Fill112
118;;;43.3578;-99.8296;0;Bottom;Copper Fill27
119;;;15.4432;-70.6958;0;Bottom;Copper Fill6
120;;;59.563;-70.264;0;Bottom;Copper Fill113
121;;;53.8734;-51.1124;0;Bottom;Copper Fill183
122;;;88.6247;-65.1458;0;Bottom;Via20
123;;;32.4612;-99.8296;0;Bottom;Copper Fill26
124;;;3.46879;-20.3713;0;Bottom;TXT6
125;;;36.8808;-43.0606;0;Bottom;Copper Fill14
126;;;63.1444;-20.3022;0;Bottom;Copper Fill279
127;;;70.8914;-101.938;0;Bottom;Copper Fill23
128;;;48.895;-101.963;0;Bottom;Copper Fill21
129;;;74.168;-20.353;0;Bottom;Copper Fill280
130;;5050;85.5247;-21.4456;0;Top;RGB45
131;;;85.5218;-54.8208;0;Bottom;Copper Fill173
132;;;29.1248;-73.3958;0;Bottom;Via69
133;;;61.2648;-49.2328;0;Bottom;Copper Fill188
134;100 nF;1206 [SMD, multilayer];79.3749;-73.1958;-90;Top;C14
135;;;52.4815;-10.2113;0;Bottom;TXT9
136;;;70.2564;-54.3382;0;Bottom;Copper Fill176
137;100;0603 [SMD];13.8748;-20.5459;-90;Bottom;R1
138;;;36.068;-34.6786;0;Bottom;Copper Fill242
139;;;59.2328;-54.3382;0;Bottom;Copper Fill175
140;;5050;41.5249;-81.4457;0;Top;RGB06
141;;;48.3616;-54.3382;0;Bottom;Copper Fill174
142;;;60.3758;-31.8338;0;Bottom;Copper Fill260
143;;;66.1924;-90.4824;0;Bottom;Copper Fill48
144;;;59.8747;-50.8955;0;Bottom;Via26
145;;;49.4792;-31.8338;0;Bottom;Copper Fill259
146;;5050;85.5247;-81.4457;0;Top;RGB10
147;;;90.7796;-40.9524;0;Bottom;Copper Fill221
148;;;41.529;-84.0308;0;Bottom;Copper Fill65
149;;;71.3994;-31.8338;0;Bottom;Copper Fill261
150;;;75.1586;-88.6028;0;Bottom;Copper Fill49
151;;;81.8748;-75.1458;0;Bottom;Via17
152;;;77.1144;-90.4824;0;Bottom;Copper Fill50
